Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Anti-Hero,Taylor Swift,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,4
La Bebe,Yng Lvcas x Peso Pluma,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,audio_features,2UW7JaomAMuX9pZrjVpHAU,spotify:track:2UW7JaomAMuX9pZrjVpHAU,https://api.spotify.com/v1/tracks/2UW7JaomAMuX9pZrjVpHAU,https://api.spotify.com/v1/audio-analysis/2UW7JaomAMuX9pZrjVpHAU,234353,4
Chemical,Post Malone,0.508,0.649,10,-7.177,0,0.0349,0.0253,2.28e-06,0.375,0.301,97.52,audio_features,2k3fs1S5gYqwzN8G2QDXiJ,spotify:track:2k3fs1S5gYqwzN8G2QDXiJ,https://api.spotify.com/v1/tracks/2k3fs1S5gYqwzN8G2QDXiJ,https://api.spotify.com/v1/audio-analysis/2k3fs1S5gYqwzN8G2QDXiJ,220653,4
Favorite Song,Toosii,0.816,0.367,2,-9.354,1,0.0588,0.314,0.0,0.0987,0.413,116.035,audio_features,1SRw5p2lVAi7RGlHEmZg66,spotify:track:1SRw5p2lVAi7RGlHEmZg66,https://api.spotify.com/v1/tracks/1SRw5p2lVAi7RGlHEmZg66,https://api.spotify.com/v1/audio-analysis/1SRw5p2lVAi7RGlHEmZg66,208630,4
Un x100to,Grupo Frontera X Bad Bunny,0.569,0.724,6,-4.076,0,0.0474,0.228,0.0,0.27,0.562,83.118,audio_features,6pD0ufEQq0xdHSsRbg9LBK,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,https://api.spotify.com/v1/tracks/6pD0ufEQq0xdHSsRbg9LBK,https://api.spotify.com/v1/audio-analysis/6pD0ufEQq0xdHSsRbg9LBK,194563,4
Players,Coi Leray,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,audio_features,6UN73IYd0hZxLi8wFPMQij,spotify:track:6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/tracks/6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/audio-analysis/6UN73IYd0hZxLi8wFPMQij,139560,4
Rock And A Hard Place,Bailey Zimmerman,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,audio_features,4686eQ81DEswHa90bcdlC9,spotify:track:4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/tracks/4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/audio-analysis/4686eQ81DEswHa90bcdlC9,207541,3
You Proof,Morgan Wallen,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,audio_features,5W4kiM2cUYBJXKRudNyxjW,spotify:track:5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/tracks/5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/audio-analysis/5W4kiM2cUYBJXKRudNyxjW,157478,4
Fast Car,Luke Combs,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,audio_features,1Lo0QY9cvc8sUB2vnIOxDT,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493,4
Sure Thing,Miguel,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,audio_features,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,195373,4
As It Was,Harry Styles,0.798,0.628,6,-6.835,0,0.0699,0.7,0.0759,0.123,0.903,87.01,audio_features,1i92UFFkxtKv4tYNzt1X1b,spotify:track:1i92UFFkxtKv4tYNzt1X1b,https://api.spotify.com/v1/tracks/1i92UFFkxtKv4tYNzt1X1b,https://api.spotify.com/v1/audio-analysis/1i92UFFkxtKv4tYNzt1X1b,226799,4
Thinkin' Bout Me,Morgan Wallen,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,audio_features,5W4kiM2cUYBJXKRudNyxjW,spotify:track:5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/tracks/5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/audio-analysis/5W4kiM2cUYBJXKRudNyxjW,157478,4
Lavender Haze,Taylor Swift,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,audio_features,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,https://api.spotify.com/v1/tracks/5jQI2r1RdgtuT8S3iG8zFC,https://api.spotify.com/v1/audio-analysis/5jQI2r1RdgtuT8S3iG8zFC,202396,4
One Thing At A Time,Morgan Wallen,0.613,0.914,7,-5.153,1,0.03,0.00522,2.21e-06,0.26,0.916,141.978,audio_features,1rXq0uoV4KTgRN64jXzIxo,spotify:track:1rXq0uoV4KTgRN64jXzIxo,https://api.spotify.com/v1/tracks/1rXq0uoV4KTgRN64jXzIxo,https://api.spotify.com/v1/audio-analysis/1rXq0uoV4KTgRN64jXzIxo,206865,4
Thought You Should Know,Morgan Wallen,0.53,0.678,6,-6.16,1,0.0278,0.506,6.23e-06,0.138,0.508,140.05,audio_features,3Qu3Zh4WTKhP9GEXo0aDnb,spotify:track:3Qu3Zh4WTKhP9GEXo0aDnb,https://api.spotify.com/v1/tracks/3Qu3Zh4WTKhP9GEXo0aDnb,https://api.spotify.com/v1/audio-analysis/3Qu3Zh4WTKhP9GEXo0aDnb,215572,4
I'm Good (Blue),David Guetta & Bebe Rexha,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,audio_features,4uUG5RXrOk84mYEfFvj3cK,spotify:track:4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,175238,4
Under The Influence,Chris Brown,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,audio_features,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4
Thank God,Kane Brown With Katelyn Brown,0.738,0.455,3,-8.735,1,0.0352,0.695,0.0,0.107,0.441,99.945,audio_features,1brnLTvarI9D1hLP6z2Ar8,spotify:track:1brnLTvarI9D1hLP6z2Ar8,https://api.spotify.com/v1/tracks/1brnLTvarI9D1hLP6z2Ar8,https://api.spotify.com/v1/audio-analysis/1brnLTvarI9D1hLP6z2Ar8,174560,4
Something In The Orange,Zach Bryan,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3
Escapism,RAYE Featuring 070 Shake,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,audio_features,5mHdCZtVyb4DcJw8799hZp,spotify:track:5mHdCZtVyb4DcJw8799hZp,https://api.spotify.com/v1/tracks/5mHdCZtVyb4DcJw8799hZp,https://api.spotify.com/v1/audio-analysis/5mHdCZtVyb4DcJw8799hZp,272373,4
Slut Me Out,NLE Choppa,0.938,0.606,6,-6.396,0,0.419,0.117,0.0,0.528,0.706,121.108,audio_features,5BmB3OaQyYXCqRyN8iR2Yi,spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,https://api.spotify.com/v1/tracks/5BmB3OaQyYXCqRyN8iR2Yi,https://api.spotify.com/v1/audio-analysis/5BmB3OaQyYXCqRyN8iR2Yi,123673,4
Por Las Noches,Peso Pluma,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,audio_features,2VzCjpKvPB1l1tqLndtAQa,spotify:track:2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/tracks/2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/audio-analysis/2VzCjpKvPB1l1tqLndtAQa,239845,4
Unholy,Sam Smith & Kim Petras,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,audio_features,3nqQXoyQOWXiESFLlDF1hG,spotify:track:3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,156943,4
Wait In The Truck,HARDY Featuring Lainey Wilson,0.534,0.466,6,-6.98,1,0.0272,0.277,0.0,0.0979,0.23,140.0,audio_features,7trjNYF5ek7zX4GKSHQZbP,spotify:track:7trjNYF5ek7zX4GKSHQZbP,https://api.spotify.com/v1/tracks/7trjNYF5ek7zX4GKSHQZbP,https://api.spotify.com/v1/audio-analysis/7trjNYF5ek7zX4GKSHQZbP,277660,4
PRC,Peso Pluma X Natanael Cano,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,audio_features,2mpoNBkngUEwnaKoBhZ0vl,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,https://api.spotify.com/v1/tracks/2mpoNBkngUEwnaKoBhZ0vl,https://api.spotify.com/v1/audio-analysis/2mpoNBkngUEwnaKoBhZ0vl,184066,3
Just Wanna Rock,Lil Uzi Vert,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,audio_features,4FyesJzVpA39hbYvcseO2d,spotify:track:4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/tracks/4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/audio-analysis/4FyesJzVpA39hbYvcseO2d,123891,4
Handle On You,Parker McCollum,0.588,0.931,6,-3.925,1,0.0318,0.00411,0.0,0.345,0.625,105.027,audio_features,6Qpfsw8OS5HW5XxgmXYLWS,spotify:track:6Qpfsw8OS5HW5XxgmXYLWS,https://api.spotify.com/v1/tracks/6Qpfsw8OS5HW5XxgmXYLWS,https://api.spotify.com/v1/audio-analysis/6Qpfsw8OS5HW5XxgmXYLWS,219333,4
Dancin' In The Country,Tyler Hubbard,0.657,0.871,7,-4.614,1,0.0675,0.0031,0.0,0.102,0.532,114.974,audio_features,2KtGiBi5CrX2ERPD2PAS34,spotify:track:2KtGiBi5CrX2ERPD2PAS34,https://api.spotify.com/v1/tracks/2KtGiBi5CrX2ERPD2PAS34,https://api.spotify.com/v1/audio-analysis/2KtGiBi5CrX2ERPD2PAS34,179640,4
Snooze,SZA,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,audio_features,1lRtH4FszTrwwlK5gTSbXO,spotify:track:1lRtH4FszTrwwlK5gTSbXO,https://api.spotify.com/v1/tracks/1lRtH4FszTrwwlK5gTSbXO,https://api.spotify.com/v1/audio-analysis/1lRtH4FszTrwwlK5gTSbXO,174943,3
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,audio_features,0vjeOZ3Ft5jvAi9SBFJm1j,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/audio-analysis/0vjeOZ3Ft5jvAi9SBFJm1j,182667,4
TQG,Karol G x Shakira,0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,audio_features,0DWdj2oZMBFSzRsi2Cvfzf,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,https://api.spotify.com/v1/tracks/0DWdj2oZMBFSzRsi2Cvfzf,https://api.spotify.com/v1/audio-analysis/0DWdj2oZMBFSzRsi2Cvfzf,199440,4
Rich Flex,Drake & 21 Savage,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,audio_features,1bDbXMyjaUIooNwFE9wn0N,spotify:track:1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N,239360,3
Love You Anyway,Luke Combs,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,audio_features,3qXsX3mYSsD1DmAvc3PE3N,spotify:track:3qXsX3mYSsD1DmAvc3PE3N,https://api.spotify.com/v1/tracks/3qXsX3mYSsD1DmAvc3PE3N,https://api.spotify.com/v1/audio-analysis/3qXsX3mYSsD1DmAvc3PE3N,229627,4
Spin Bout U,Drake & 21 Savage,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,audio_features,2ZL7WZcjuYKi1KUDtp4kCC,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/tracks/2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/audio-analysis/2ZL7WZcjuYKi1KUDtp4kCC,214589,4
Next Thing You Know,Jordan Davis,0.557,0.597,5,-8.296,1,0.048,0.646,0.0,0.0974,0.414,78.526,audio_features,2lNTHWu2I5Tcz9ukWsV5Jj,spotify:track:2lNTHWu2I5Tcz9ukWsV5Jj,https://api.spotify.com/v1/tracks/2lNTHWu2I5Tcz9ukWsV5Jj,https://api.spotify.com/v1/audio-analysis/2lNTHWu2I5Tcz9ukWsV5Jj,175238,4
Eyes Closed,Ed Sheeran,0.777,0.526,2,-6.221,1,0.0645,0.302,0.0,0.105,0.389,107.071,audio_features,07bsRv0pcpbG4zJeLsUs1p,spotify:track:07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/tracks/07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/audio-analysis/07bsRv0pcpbG4zJeLsUs1p,194849,4
Daylight,David Kushner,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,spotify:track:1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4
Heart Like A Truck,Lainey Wilson,0.587,0.632,9,-5.416,1,0.0311,0.148,1.01e-05,0.158,0.392,139.974,audio_features,5ZCjp56T8J6d7amJyFSzrI,spotify:track:5ZCjp56T8J6d7amJyFSzrI,https://api.spotify.com/v1/tracks/5ZCjp56T8J6d7amJyFSzrI,https://api.spotify.com/v1/audio-analysis/5ZCjp56T8J6d7amJyFSzrI,199040,4
